ID	clone	subclone
CJA0746	0	0
CJA0747	0	0
CJA0748	0	0
CJA0749	0	0
CJA0750	0	0
CJA0751	0	0
CJA0752	0	0
CJA0753	0	0
CJA0754	0	0
CJA0755	0	0
CJA0756	0	0
CJA0757	0	0
CJA0758	0	0
CJA0759	0	0
CJA0760	0	0
CJA0761	0	0
CJA0762	0	0
CJA0763	0	0
CJA0764	0	0
CJA0765	0	0
CJA0766	0	0
CJA0767	0	0
CJA0768	0	0
CJA0769	0	0
CJA0773	0	0
CJA0780	0	0
CJA0783	0	0
CJA0784	0	0
CJA0785	0	0
CJA0786	0	0
CJA0787	0	0
CJA0788	0	0
CJA0789	0	0
CJA0790	0	0
CJA0791	0	0
CJA0864	0	0
CJA0866	0	0
CJA0869	119	0
CJA0876	0	0
CJA0881	0	0
CJA0883	119	0
CJA0884	119	0
CJA0888	0	0
CJA0890	119	0
CJA0892	0	0
CJA0894	119	83
CJA0895	119	83
CJA0898	0	0
CJA0900	119	83
CJA0901	119	83
CJA0902	119	83
CJA0903	119	83
CJA0904	119	83
CJA0905	0	0
CJA0906	0	0
CJA0908	119	83
CJA0910	119	0
CJA0911	119	0
CJA0912	119	83
CJA0913	119	0
CJA0914	119	83
CJA0915	119	0
CJA0916	119	83
CJA0918	119	83
CJA0919	119	83
CJA1020	119	83
CJA1021	119	83
CJA1022	119	83
CJA1023	119	83
CJA1026	119	83
CJA1027	119	83
CJA1028	119	83
CJA1029	119	83
CJA1030	119	83
CJA1031	119	83
CJA1032	119	0
CJA1033	119	83
CJA1034	119	0
CJA1035	0	0
CJA1036	0	0
CJA1037	119	0
CJA1038	0	0
CJA1039	0	0
CJA1040	119	83
CJA1041	0	0
CJA1042	119	0
CJA1043	0	0
CJA1044	119	0
CJA1046	119	0
CJA1047	119	0
CJA1048	119	0
CJA1049	119	0
CJA1051	119	0
CJA1052	119	83
CJA1054	119	0
CJA1055	0	0
CJA1056	119	0
CJA1057	119	83
CJA1098	0	0
CJA1099	0	0
CJA1100	0	0
CJA1101	0	0
CJA1102	0	0
CJA1103	0	0
CJA1104	0	0
CJA1106	0	0
CJA1107	0	0
CJA1108	0	0
CJA1109	0	0
CJA1110	0	0
CJA1111	0	0
CJA1112	0	0
CJA1113	0	0
CJA1120	0	0
CJA1130	0	0
CJA1131	0	0
CJA1132	0	0
CJA1133	0	0
CJA1135	0	0
CJA1138	0	0
CJA1139	0	0
CJA1140	0	0
CJA1141	0	0
CJA1142	0	0
CJA1145	0	0
CJA1146	0	0
CJA1147	0	0
CJA1149	0	0
CJA1152	0	0
CJA1153	0	0
CJA1154	0	0
CJA1155	0	0
CJA1156	0	0
CJA1157	119	83
CJA1159	119	0
CJA1160	119	83
CJA1161	119	0
CJA1163	0	0
CJA1164	119	83
CJA1166	119	0
CJA1167	119	83
CJA1168	119	83
CJA1169	0	0
CJA1172	119	0
CJA1173	119	83
CJA1175	119	83
CJA1176	0	0
CJA1177	0	0
CJA1178	119	0
CJA1180	119	0
CJA1183	119	94
CJA1185	119	94
CJA1190	119	94
CJA1197	119	94
CJA1200	119	94
CJA1201	119	94
CJA1202	0	0
CJA1203	0	0
CJA1204	0	0
CJA1205	0	0
CJA1206	119	94
CJA1207	119	94
CJA1208	0	0
CJA1209	119	94
CJA1210	119	94
CJA1211	119	94
CJA1212	119	94
CJA1213	119	94
CJA1214	119	94
CJA1215	119	94
CJA1216	119	94
CJA1217	0	0
CJA1218	119	94
CJA1219	0	0
CJA1220	119	94
CJA1221	119	94
