ID	clone	subclone
CJA0749	0	0
CJA0750	0	0
CJA0753	0	0
CJA0754	0	0
CJA0766	0	0
CJA0767	0	0
CJA0773	0	0
CJA0790	0	0
CJA0864	0	0
CJA0866	0	0
CJA0876	0	0
CJA0900	119	83
CJA0901	119	83
CJA0902	119	83
CJA0903	119	83
CJA0908	119	83
CJA0911	119	0
CJA0912	119	83
CJA0913	119	0
CJA0915	119	0
CJA0918	119	83
CJA0919	119	83
CJA1023	119	83
CJA1028	119	83
CJA1031	119	83
CJA1035	0	0
CJA1044	119	0
CJA1047	119	0
CJA1052	119	83
CJA1056	119	0
CJA1104	0	0
CJA1106	0	0
CJA1113	0	0
CJA1130	0	0
CJA1140	0	0
CJA1145	0	0
CJA1149	0	0
CJA1154	0	0
CJA1156	0	0
CJA1159	119	0
CJA1168	119	83
CJA1169	0	0
CJA1177	0	0
CJA1183	119	94
CJA1197	119	94
CJA1200	119	94
CJA1202	0	0
CJA1205	0	0
CJA1211	119	94
CJA1216	119	94
CJA1221	119	94
CJA1223	119	94
CJA1224	0	0
CJA1225	119	94
CJA1231	0	0
CJA1237	119	94
CJA1243	119	94
CJA1244	119	94
CJA1250	119	94
CJA1252	0	0
CJA1253	119	94
CJA1255	119	0
CJA1259	119	0
CJA1319	0	0
CJA1321	0	0
CJA1326	0	0
CJA1330	0	0
CJA1333	0	0
CJA1335	0	0
CJA1336	0	0
CJA1337	0	0
CJA1338	119	94
CJA1340	0	0
CJA1352	0	0
CJA1359	119	94
CJA1360	119	94
CJA1361	119	0
CJA1367	0	0
CJA1369	119	94
CJA1371	0	0
CJA1372	119	94
CJA1373	0	0
CJA1374	0	0
CJA1401	0	0
CJA1404	0	0
CJA1405	0	0
CJA1406	0	0
CJA1409	0	0
CJA1412	119	94
CJA1413	0	0
CJA1414	0	0
CJA1417	119	94
CJA1418	0	0
CJA1449	0	0
CJA1452	0	0
CJA1454	0	0
CJA1457	0	0
CJA1458	0	0
CJA1467	0	0
CJA1468	0	0
CJA1472	0	0
CJA1473	0	0
CJA1478	0	0
CJA1481	0	0
CJA1483	0	0
CJA1853	0	0
CJA1867	0	0
CJA1868	0	0
CJA1873	0	0
CJA1874	0	0
CJA1879	0	0
CJA1881	0	0
CJA5253	0	0
CJA5254	0	0
CJA5255	0	0
CJA5256	0	0
CJA5257	0	0
CJA5258	0	0
CJA5263	0	0
CJA5264	0	0
CJA5268	0	0
CJA5269	0	0
CJA5273	0	0
CJA5274	0	0
CJA5276	0	0
CJA5278	0	0
CJA5280	0	0
CJA5284	0	0
CJA5290	0	0
CJA5294	0	0
