bin	sign
10	-1
13	-1
16	-1
19	-1
22	-1
26	-1
37	-1
40	-1
44	-1
47	-1
51	-1
54	-1
57	-1
60	-1
64	-1
68	-1
71	-1
79	-1
82	-1
85	-1
96	-1
100	-1
103	-1
106	-1
109	-1
112	-1
117	-1
120	-1
123	-1
128	-1
131	-1
135	-1
141	-1
145	-1
150	-1
153	-1
156	-1
160	-1
163	-1
167	-1
172	-1
175	-1
179	-1
184	-1
189	-1
196	-1
200	-1
205	-1
209	-1
212	-1
215	-1
219	-1
222	-1
228	-1
233	-1
236	-1
240	-1
244	-1
247	-1
250	-1
253	-1
256	-1
259	-1
262	-1
265	-1
268	-1
271	-1
277	-1
281	-1
284	-1
287	-1
290	-1
294	-1
300	-1
304	-1
308	-1
314	-1
320	-1
327	-1
333	-1
339	-1
343	-1
346	-1
349	-1
352	-1
355	-1
358	-1
362	-1
366	-1
370	-1
379	-1
388	-1
392	-1
397	-1
401	-1
406	-1
411	-1
414	-1
417	-1
421	-1
427	-1
432	-1
437	-1
441	-1
449	-1
452	-1
458	-1
461	-1
466	-1
469	-1
473	-1
484	-1
487	-1
490	-1
494	-1
497	-1
502	-1
516	-1
519	-1
523	-1
528	-1
531	-1
534	-1
539	-1
542	-1
551	-1
555	-1
559	-1
564	-1
578	-1
583	-1
588	-1
591	-1
594	-1
599	-1
602	-1
607	-1
612	-1
616	-1
619	-1
623	-1
627	-1
633	-1
638	-1
641	-1
644	-1
647	-1
650	-1
653	-1
663	-1
666	-1
670	-1
680	-1
683	-1
686	-1
689	-1
692	-1
695	-1
698	-1
701	-1
705	-1
708	-1
714	-1
717	-1
720	-1
723	-1
726	-1
737	-1
740	-1
744	-1
749	-1
752	-1
755	-1
758	-1
761	-1
764	-1
768	-1
772	-1
775	-1
780	-1
788	-1
791	-1
796	-1
800	-1
805	-1
809	-1
816	-1
822	-1
827	-1
831	-1
836	-1
841	-1
845	-1
848	-1
859	-1
869	-1
873	-1
877	-1
882	-1
885	-1
889	-1
892	-1
895	-1
898	-1
901	-1
904	-1
907	-1
910	-1
919	-1
924	-1
927	-1
930	-1
934	-1
937	-1
941	-1
944	-1
960	-1
964	-1
969	-1
972	-1
976	-1
979	-1
983	-1
989	-1
992	-1
996	-1
1000	-1
1010	-1
1019	-1
1026	-1
1035	-1
1039	-1
1042	-1
1046	-1
1049	-1
1055	-1
1058	-1
1061	-1
1064	-1
1069	-1
1075	-1
1088	-1
1091	-1
1095	-1
1099	-1
1104	-1
1114	-1
1117	-1
1121	-1
1124	-1
1127	-1
1131	-1
1136	-1
1146	-1
1149	-1
1162	-1
1165	-1
1173	-1
1176	-1
1186	-1
1194	-1
1198	-1
1201	-1
1206	-1
1219	-1
1223	-1
1232	-1
1235	-1
1239	-1
1242	-1
1245	-1
1248	-1
1251	-1
1255	-1
1258	-1
1271	-1
1276	-1
1282	-1
1285	-1
1297	-1
1301	-1
1304	-1
1307	-1
1310	-1
1316	-1
1319	-1
1322	-1
1330	-1
1333	-1
1340	-1
1346	-1
1350	-1
1360	-1
1363	-1
1366	-1
1371	-1
1374	-1
1377	-1
1380	-1
1388	-1
1393	-1
1397	-1
1400	-1
1403	-1
1410	-1
