seq.unit.id	seq.sample.id	sector	gate	Pathology
CJA0749	JA0037	1	2C Rt	Benign prostatic tissue 
CJA0750	JA0037	1	2C Rt	Benign prostatic tissue 
CJA0753	JA0037	1	2C Rt	Benign prostatic tissue 
CJA0754	JA0038	1	2C Rt	Benign prostatic tissue 
CJA0766	JA0039	1	2C Lt	Benign prostatic tissue 
CJA0767	JA0039	1	2C Lt	Benign prostatic tissue 
CJA0773	JA0040	1	<2C	Benign prostatic tissue 
CJA0790	JA0042	1	>2C-4C	Benign prostatic tissue 
CJA0864	JM0357	3	>2C-4C Lt	Gleason 9 and invading seminal vesicle
CJA0866	JM0357	3	>2C-4C Lt	Gleason 9 and invading seminal vesicle
CJA0876	JM0358	3	>2C-4C Lt	Gleason 9 and invading seminal vesicle
CJA0900	JM0361	3	>2C-4C Rt	Gleason 9 and invading seminal vesicle
CJA0901	JM0361	3	>2C-4C Rt	Gleason 9 and invading seminal vesicle
CJA0902	JM0361	3	>2C-4C Rt	Gleason 9 and invading seminal vesicle
CJA0903	JM0361	3	>2C-4C Rt	Gleason 9 and invading seminal vesicle
CJA0908	JM0362	3	>2C-4C Rt	Gleason 9 and invading seminal vesicle
CJA0911	JM0362	3	>2C-4C Rt	Gleason 9 and invading seminal vesicle
CJA0912	JM0363	3	>2C-4C Rt	Gleason 9 and invading seminal vesicle
CJA0913	JM0363	3	>2C-4C Rt	Gleason 9 and invading seminal vesicle
CJA0915	JM0363	3	>2C-4C Rt	Gleason 9 and invading seminal vesicle
CJA0918	JM0363	3	>2C-4C Rt	Gleason 9 and invading seminal vesicle
CJA0919	JM0363	3	>2C-4C Rt	Gleason 9 and invading seminal vesicle
CJA1023	JM0364	3	>2C-4C Rt	Gleason 9 and invading seminal vesicle
CJA1028	JM0365	3	>2C-4C Rt	Gleason 9 and invading seminal vesicle
CJA1031	JM0365	3	>2C-4C Rt	Gleason 9 and invading seminal vesicle
CJA1035	JM0365	3	4C	Gleason 9 and invading seminal vesicle
CJA1044	JM0367	3	4C	Gleason 9 and invading seminal vesicle
CJA1047	JM0367	3	4C	Gleason 9 and invading seminal vesicle
CJA1052	JM0368	3	4C	Gleason 9 and invading seminal vesicle
CJA1056	JM0368	3	4C	Gleason 9 and invading seminal vesicle
CJA1104	JM0379	3	2C Lt	Gleason 9 and invading seminal vesicle
CJA1106	JM0380	3	2C Lt	Gleason 9 and invading seminal vesicle
CJA1113	JM0380	3	2C Lt	Gleason 9 and invading seminal vesicle
CJA1130	JM0376	3	2C Rt	Gleason 9 and invading seminal vesicle
CJA1140	JM0377	3	2C Rt	Gleason 9 and invading seminal vesicle
CJA1145	JM0377	3	2C Rt	Gleason 9 and invading seminal vesicle
CJA1149	JM0378	3	2C Lt	Gleason 9 and invading seminal vesicle
CJA1154	JM0381	3	2C Lt	Gleason 9 and invading seminal vesicle
CJA1156	JM0381	3	2C Lt	Gleason 9 and invading seminal vesicle
CJA1159	JM0381	3	>4C	Gleason 9 and invading seminal vesicle
CJA1168	JM0382	3	>4C	Gleason 9 and invading seminal vesicle
CJA1169	JM0382	3	>4C	Gleason 9 and invading seminal vesicle
CJA1177	JM0383	3	>4C	Gleason 9 and invading seminal vesicle
CJA1183	JM0384	5	<2C	Gleason 9 at capsule
CJA1197	JM0386	5	<2C	Gleason 9 at capsule
CJA1200	JM0386	5	2C Rt	Gleason 9 at capsule
CJA1202	JM0386	5	2C Rt	Gleason 9 at capsule
CJA1205	JM0390	5	2C Lt	Gleason 9 at capsule
CJA1211	JM0390	5	2C Lt	Gleason 9 at capsule
CJA1216	JM0391	5	>4C	Gleason 9 at capsule
CJA1221	JM0392	5	>4C	Gleason 9 at capsule
CJA1223	JM0392	5	>4C	Gleason 9 at capsule
CJA1224	JM0392	5	>4C	Gleason 9 at capsule
CJA1225	JM0392	5	>4C	Gleason 9 at capsule
CJA1231	JM0387	5	2C Rt	Gleason 9 at capsule
CJA1237	JM0388	5	2C Rt	Gleason 9 at capsule
CJA1243	JM0388	5	2C Lt	Gleason 9 at capsule
CJA1244	JM0388	5	2C Lt	Gleason 9 at capsule
CJA1250	JM0389	5	2C Lt	Gleason 9 at capsule
CJA1252	JM0389	5	2C Lt	Gleason 9 at capsule
CJA1253	JM0393	5	>4C	Gleason 9 at capsule
CJA1255	JM0393	5	>4C	Gleason 9 at capsule
CJA1259	JM0393	5	>4C	Gleason 9 at capsule
CJA1319	JM0394	4	2C Rt	Gleason 9 near urethra
CJA1321	JM0394	4	2C Rt	Gleason 9 near urethra
CJA1326	JM0394	4	2C Rt	Gleason 9 near urethra
