ID	clone	subclone
DNA_2N_1_S01	397	300
DNA_2N_10_S10	397	288
DNA_2N_11_S11	397	288
DNA_2N_12_S12	397	288
DNA_2N_13_S13	397	288
DNA_2N_14_S14	397	288
DNA_2N_15_S15	397	288
DNA_2N_16_S16	397	288
DNA_2N_17_S17	397	288
DNA_2N_18_S18	397	288
DNA_2N_19_S19	397	300
DNA_2N_2_S02	397	300
DNA_2N_20_S20	397	300
DNA_2N_21_S21	397	288
DNA_2N_22_S22	397	288
DNA_2N_23_S23	397	288
DNA_2N_24_S24	397	300
DNA_2N_25_S25	397	288
DNA_2N_26_S26	397	300
DNA_2N_27_S27	397	300
DNA_2N_28_S28	397	288
DNA_2N_29_S29	397	288
DNA_2N_3_S03	397	288
DNA_2N_30_S30	397	300
DNA_2N_31_S31	397	300
DNA_2N_32_S32	397	288
DNA_2N_33_S33	397	288
DNA_2N_34_S34	397	288
DNA_2N_35_S35	397	288
DNA_2N_36_S36	397	300
DNA_2N_37_S38	397	288
DNA_2N_38_S39	397	288
DNA_2N_39_S40	397	288
DNA_2N_4_S04	397	300
DNA_2N_40_S41	397	288
DNA_2N_41_S42	397	300
DNA_2N_42_S43	397	288
DNA_2N_43_S44	397	300
DNA_2N_44_S45	397	288
DNA_2N_45_S46	397	288
DNA_2N_46_S47	397	300
DNA_2N_47_S48	397	288
DNA_2N_5_S05	397	300
DNA_2N_6_S06	397	288
DNA_2N_7_S07	397	288
DNA_2N_8_S08	397	288
DNA_2N_9_S09	397	300
DNA_2N._1_S49	397	288
DNA_2N._10_S58	397	288
DNA_2N._11_S59	397	0
DNA_2N._12_S60	397	288
DNA_2N._13_S61	397	288
DNA_2N._14_S62	397	288
DNA_2N._15_S63	397	288
DNA_2N._16_S64	397	288
DNA_2N._17_S65	397	288
DNA_2N._18_S66	397	288
DNA_2N._19_S67	397	288
DNA_2N._2_S50	397	288
DNA_2N._20_S68	397	288
DNA_2N._21_S69	397	288
DNA_2N._22_S70	397	300
DNA_2N._23_S71	397	288
DNA_2N._24_S72	397	300
DNA_2N._25_S73	397	300
DNA_2N._26_S74	397	288
DNA_2N._27_S75	397	288
DNA_2N._28_S76	397	288
DNA_2N._29_S77	397	288
DNA_2N._3_S51	397	288
DNA_2N._30_S78	397	0
DNA_2N._31_S79	397	0
DNA_2N._32_S80	397	288
DNA_2N._33_S81	397	288
DNA_2N._34_S82	397	288
DNA_2N._35_S83	397	288
DNA_2N._4_S52	397	288
DNA_2N._5_S53	397	288
DNA_2N._6_S54	397	288
DNA_2N._7_S55	397	288
DNA_2N._8_S56	397	288
DNA_2N._9_S57	397	288
DNA_4N_1_S85	397	288
DNA_4N_10_S94	397	278
DNA_4N_11_S95	397	288
DNA_4N_12_S96	397	288
DNA_4N_2_S86	397	288
DNA_4N_3_S87	397	0
DNA_4N_4_S88	397	288
