index1	index2	height	clustersize
32	79	-34.0545705951313	2
136	137	-30.0527984104508	2
30	31	-29.997342382006	2
9	128	-28.989357762008	2
57	80	-28.5206550696782	2
401	404	-28.3952405220805	4
130	402	-27.3415251241798	3
34	403	-27.3012067435957	3
21	51	-27.2864685413682	2
8	22	-27.190377892373	2
18	46	-26.8899906999944	2
15	20	-26.404191452071	2
159	407	-26.0546154856337	4
408	410	-25.6376109924153	5
145	153	-25.4441957870327	2
143	147	-25.2538233451256	2
5	13	-25.0737025201425	2
129	406	-24.8617542730238	5
134	413	-24.73851927142	5
207	369	-24.5023981140114	2
127	148	-24.4362864334122	2
131	418	-24.4094894319392	6
14	414	-24.3272255772282	6
2	204	-23.8946747416217	2
36	90	-23.6497897790651	2
26	423	-23.616259957028	7
149	419	-23.4140162597939	6
19	42	-23.3330118437443	2
180	405	-22.9300020093517	3
0	10	-22.6055227006066	2
77	422	-22.394029160808	7
85	89	-22.3380484742684	2
53	81	-22.3373239237426	2
421	427	-22.2463643949469	8
417	426	-21.9746655111669	9
84	431	-21.7755055883222	8
411	430	-21.7234909480675	4
420	424	-21.6146088764275	4
412	435	-21.5875041884611	11
160	434	-21.574759813441	9
92	409	-21.536175142244	3
436	438	-21.1752583924936	12
146	154	-20.8533960033117	2
416	440	-20.838137164995	11
41	425	-20.5577160492739	3
88	439	-20.3837128684958	12
43	442	-20.3053768683595	13
135	444	-20.0421853936809	12
368	447	-19.4804714853235	14
66	69	-19.4465936881854	2
25	38	-19.2849092820733	2
167	393	-18.8042274571357	2
445	446	-18.7688358729919	15
126	448	-18.7488729753955	13
140	142	-18.4492836138008	2
7	45	-18.3410057756085	2
61	63	-18.2535315654991	2
65	433	-18.1592643278279	3
27	453	-18.0288566355553	16
170	449	-18.0128446703271	15
35	437	-17.7975378992423	5
56	456	-17.6429554653019	3
155	454	-17.6120137414254	14
441	460	-17.566778186808	18
428	461	-17.4460397053652	7
62	462	-17.4109425695705	4
75	466	-17.2949361217049	5
429	458	-17.2830818730217	6
24	33	-17.2796838367415	2
269	452	-16.8673619381842	3
356	464	-16.6840047004893	19
263	332	-16.583074684805	2
133	156	-16.1397813502663	2
83	91	-16.0876104599416	2
238	388	-15.9757964952508	2
158	463	-15.9033645066333	15
23	465	-15.8738039489651	8
4	459	-15.8205992288616	17
358	471	-15.5450006881305	20
40	477	-15.4256282570313	9
249	479	-15.2692982386718	21
451	478	-15.2070644411933	19
12	29	-15.1975247152738	2
141	455	-15.03038669523	3
44	125	-14.9636737055419	2
415	476	-14.6940255926941	17
255	481	-14.6918522076798	22
47	124	-14.5179436211461	2
11	480	-14.4921391212869	10
1	482	-14.2562998476061	20
17	432	-14.1934275266865	3
175	182	-14.1713791187803	2
336	475	-14.158471330514	3
58	74	-14.0527126195122	2
229	268	-13.9411236500819	2
485	487	-13.8710810285488	24
138	177	-13.7971222154106	2
