bin	sign
2	-2
384	-2
742	-2
1050	-2
1345	-2
1636	-2
1925	-2
2185	-2
2436	-2
2682	-2
2937	-2
3183	-2
3407	-2
3634	-2
3862	-2
4065	-2
4257	-2
4435	-2
4613	-2
10	-1
13	-1
16	-1
19	-1
23	-1
27	-1
36	-1
39	-1
42	-1
45	-1
53	-1
56	-1
59	-1
64	-1
69	-1
74	-1
77	-1
80	-1
85	-1
93	-1
96	-1
99	-1
104	-1
108	-1
111	-1
124	-1
145	-1
154	-1
161	-1
165	-1
170	-1
173	-1
176	-1
180	-1
184	-1
192	-1
197	-1
200	-1
207	-1
213	-1
221	-1
225	-1
235	-1
240	-1
245	-1
249	-1
252	-1
255	-1
258	-1
261	-1
264	-1
268	-1
278	-1
281	-1
285	-1
291	-1
294	-1
310	-1
314	-1
319	-1
327	-1
331	-1
337	-1
341	-1
345	-1
351	-1
354	-1
362	-1
366	-1
378	-1
382	-1
386	-1
389	-1
394	-1
399	-1
403	-1
406	-1
409	-1
412	-1
415	-1
419	-1
422	-1
425	-1
428	-1
431	-1
434	-1
437	-1
440	-1
443	-1
453	-1
458	-1
463	-1
469	-1
473	-1
477	-1
481	-1
486	-1
489	-1
494	-1
498	-1
501	-1
505	-1
508	-1
517	-1
520	-1
524	-1
542	-1
547	-1
551	-1
554	-1
561	-1
564	-1
569	-1
578	-1
582	-1
586	-1
589	-1
599	-1
602	-1
605	-1
609	-1
615	-1
618	-1
631	-1
635	-1
639	-1
642	-1
645	-1
652	-1
665	-1
682	-1
685	-1
689	-1
693	-1
697	-1
701	-1
704	-1
708	-1
711	-1
714	-1
718	-1
724	-1
734	-1
737	-1
740	-1
747	-1
754	-1
760	-1
763	-1
772	-1
775	-1
778	-1
784	-1
787	-1
790	-1
794	-1
801	-1
809	-1
815	-1
818	-1
830	-1
833	-1
836	-1
849	-1
854	-1
861	-1
864	-1
870	-1
873	-1
876	-1
883	-1
888	-1
892	-1
901	-1
906	-1
912	-1
915	-1
918	-1
921	-1
924	-1
930	-1
934	-1
938	-1
942	-1
945	-1
951	-1
965	-1
970	-1
973	-1
976	-1
993	-1
996	-1
999	-1
1004	-1
1007	-1
1013	-1
1018	-1
1025	-1
1032	-1
1035	-1
1038	-1
1041	-1
1053	-1
1061	-1
1069	-1
1074	-1
1081	-1
1085	-1
1090	-1
1097	-1
1102	-1
1106	-1
1117	-1
1121	-1
1124	-1
1127	-1
1131	-1
1136	-1
1139	-1
1146	-1
1165	-1
1177	-1
1182	-1
1189	-1
1193	-1
1198	-1
1202	-1
1212	-1
1215	-1
1229	-1
1239	-1
1246	-1
1253	-1
1257	-1
1267	-1
1271	-1
1284	-1
1291	-1
1294	-1
1298	-1
1302	-1
1305	-1
1308	-1
1312	-1
1318	-1
1327	-1
1334	-1
1337	-1
1341	-1
1350	-1
1357	-1
1360	-1
1363	-1
1367	-1
1370	-1
1373	-1
1376	-1
1380	-1
1384	-1
1390	-1
1394	-1
1397	-1
1400	-1
1405	-1
1408	-1
1412	-1
1415	-1
1418	-1
1422	-1
1427	-1
1430	-1
1434	-1
1440	-1
1444	-1
1447	-1
1451	-1
1457	-1
1467	-1
1474	-1
1477	-1
1500	-1
1506	-1
1510	-1
1516	-1
1519	-1
1523	-1
1526	-1
1529	-1
1532	-1
1540	-1
1547	-1
1550	-1
1556	-1
1559	-1
1565	-1
1568	-1
1571	-1
1574	-1
1577	-1
1584	-1
1597	-1
1600	-1
1603	-1
1608	-1
1611	-1
1618	-1
1621	-1
1624	-1
1628	-1
1631	-1
1645	-1
1648	-1
1655	-1
1661	-1
1664	-1
1671	-1
1674	-1
1680	-1
1684	-1
1687	-1
1695	-1
1698	-1
1703	-1
1706	-1
1709	-1
1713	-1
1716	-1
1719	-1
1723	-1
1726	-1
1729	-1
1732	-1
1736	-1
1740	-1
1747	-1
1751	-1
1755	-1
1758	-1
1763	-1
1767	-1
1774	-1
1777	-1
1780	-1
1783	-1
1786	-1
1789	-1
1792	-1
1796	-1
1800	-1
1804	-1
1808	-1
1817	-1
1821	-1
1827	-1
1830	-1
1838	-1
1847	-1
1853	-1
1856	-1
1859	-1
1866	-1
1869	-1
1879	-1
1883	-1
1887	-1
1890	-1
1896	-1
1899	-1
1903	-1
1906	-1
1909	-1
1912	-1
1915	-1
1931	-1
1934	-1
1939	-1
1944	-1
1949	-1
1953	-1
1956	-1
1959	-1
1962	-1
1966	-1
1973	-1
1977	-1
1982	-1
1985	-1
1989	-1
1992	-1
2001	-1
2005	-1
2010	-1
2016	-1
2023	-1
2028	-1
2047	-1
2050	-1
2054	-1
2059	-1
2062	-1
2067	-1
2073	-1
2077	-1
2084	-1
2087	-1
2091	-1
2103	-1
2109	-1
2121	-1
2125	-1
2128	-1
2140	-1
2145	-1
2150	-1
2155	-1
2159	-1
2165	-1
2171	-1
2175	-1
2180	-1
2187	-1
2190	-1
2195	-1
2201	-1
2204	-1
2208	-1
2211	-1
2219	-1
2222	-1
2226	-1
2230	-1
2233	-1
2244	-1
2247	-1
2262	-1
2265	-1
2270	-1
2273	-1
2286	-1
2291	-1
2302	-1
2310	-1
2313	-1
2316	-1
2319	-1
2324	-1
2328	-1
2339	-1
2342	-1
2345	-1
2348	-1
2351	-1
2354	-1
2357	-1
2362	-1
2367	-1
2370	-1
2377	-1
2383	-1
2386	-1
2389	-1
2393	-1
2396	-1
2399	-1
2402	-1
2405	-1
2410	-1
2413	-1
2416	-1
2419	-1
2424	-1
2431	-1
2441	-1
2449	-1
2455	-1
2459	-1
2466	-1
2469	-1
2472	-1
2475	-1
2478	-1
2481	-1
2484	-1
2487	-1
2499	-1
2502	-1
2506	-1
2509	-1
2512	-1
2515	-1
2521	-1
2527	-1
2533	-1
2536	-1
2539	-1
2543	-1
2550	-1
2554	-1
2557	-1
2560	-1
2563	-1
2569	-1
2579	-1
2582	-1
2587	-1
2591	-1
2599	-1
2602	-1
2605	-1
2614	-1
2617	-1
2626	-1
2638	-1
2643	-1
2646	-1
2654	-1
2660	-1
2664	-1
2667	-1
2671	-1
2677	-1
2687	-1
2694	-1
2705	-1
2709	-1
2712	-1
2715	-1
2718	-1
2721	-1
2733	-1
2739	-1
2749	-1
2752	-1
2757	-1
2765	-1
2775	-1
2781	-1
2790	-1
2794	-1
2799	-1
2804	-1
2809	-1
2817	-1
2820	-1
2823	-1
2826	-1
2833	-1
2837	-1
2840	-1
2847	-1
2858	-1
2861	-1
2870	-1
2874	-1
2879	-1
2893	-1
2896	-1
2899	-1
2909	-1
2913	-1
2916	-1
2923	-1
2929	-1
2940	-1
2944	-1
2949	-1
2952	-1
2958	-1
2962	-1
2966	-1
2970	-1
2978	-1
2988	-1
2991	-1
2994	-1
2997	-1
3002	-1
3007	-1
3012	-1
3015	-1
3021	-1
3024	-1
3031	-1
3034	-1
3042	-1
3046	-1
3052	-1
3057	-1
3060	-1
3063	-1
3066	-1
3069	-1
3072	-1
3075	-1
3078	-1
3081	-1
3084	-1
3088	-1
3093	-1
3096	-1
3100	-1
3103	-1
3106	-1
3116	-1
3124	-1
3127	-1
3130	-1
3139	-1
3142	-1
3146	-1
3161	-1
3164	-1
3167	-1
3170	-1
3173	-1
3177	-1
3185	-1
3188	-1
3192	-1
3197	-1
3201	-1
3204	-1
3208	-1
3212	-1
3218	-1
3228	-1
3232	-1
3240	-1
3243	-1
3251	-1
3258	-1
3266	-1
3271	-1
3275	-1
3278	-1
3289	-1
3296	-1
3305	-1
3309	-1
3316	-1
3322	-1
3326	-1
3332	-1
3335	-1
3340	-1
3343	-1
3350	-1
3354	-1
3357	-1
3361	-1
3368	-1
3371	-1
3374	-1
3378	-1
3383	-1
3387	-1
3394	-1
3401	-1
3404	-1
3409	-1
3412	-1
3415	-1
3421	-1
3435	-1
3442	-1
3445	-1
3448	-1
3451	-1
3454	-1
3458	-1
3465	-1
3470	-1
3474	-1
3479	-1
3483	-1
3486	-1
3494	-1
3498	-1
3503	-1
3508	-1
3512	-1
3515	-1
3519	-1
3523	-1
3527	-1
3532	-1
3535	-1
3538	-1
3542	-1
3549	-1
3552	-1
3561	-1
3564	-1
3568	-1
3571	-1
3574	-1
3577	-1
3580	-1
3584	-1
3587	-1
3592	-1
3595	-1
3611	-1
3614	-1
3617	-1
3620	-1
3643	-1
3646	-1
3655	-1
3659	-1
3662	-1
3666	-1
3669	-1
3672	-1
3679	-1
3682	-1
3693	-1
3696	-1
3699	-1
3702	-1
3706	-1
3716	-1
3719	-1
3725	-1
3734	-1
3738	-1
3741	-1
3751	-1
3759	-1
3763	-1
3766	-1
3769	-1
3772	-1
3775	-1
3778	-1
3784	-1
3791	-1
3807	-1
3810	-1
3813	-1
3818	-1
3826	-1
3829	-1
3834	-1
3839	-1
3847	-1
3854	-1
3864	-1
3869	-1
3879	-1
3882	-1
3885	-1
3890	-1
3904	-1
3909	-1
3912	-1
3917	-1
3922	-1
3925	-1
3928	-1
3932	-1
3943	-1
3951	-1
3955	-1
3960	-1
3964	-1
3967	-1
3970	-1
3977	-1
3980	-1
3989	-1
3994	-1
4002	-1
4005	-1
4010	-1
4013	-1
4019	-1
4022	-1
4028	-1
4033	-1
4036	-1
4042	-1
4045	-1
4048	-1
4051	-1
4054	-1
4058	-1
4062	-1
4067	-1
4070	-1
4081	-1
4084	-1
4087	-1
4090	-1
4093	-1
4096	-1
4099	-1
4102	-1
4105	-1
4109	-1
4112	-1
4115	-1
4118	-1
4121	-1
4124	-1
4128	-1
4133	-1
4138	-1
4141	-1
4144	-1
4149	-1
4152	-1
4155	-1
4162	-1
4166	-1
4170	-1
4176	-1
4185	-1
4194	-1
4199	-1
4203	-1
4210	-1
4213	-1
4216	-1
4219	-1
4222	-1
4236	-1
4241	-1
4249	-1
4253	-1
4259	-1
4262	-1
4276	-1
4281	-1
4284	-1
4289	-1
4292	-1
4295	-1
4298	-1
4301	-1
4304	-1
4307	-1
4310	-1
4315	-1
4318	-1
4321	-1
4325	-1
4329	-1
4332	-1
4335	-1
4339	-1
4342	-1
4348	-1
4359	-1
4368	-1
4373	-1
4377	-1
4381	-1
4387	-1
4396	-1
4400	-1
4405	-1
4410	-1
4413	-1
4416	-1
4422	-1
4440	-1
4443	-1
4446	-1
4449	-1
4452	-1
4455	-1
4459	-1
4470	-1
4481	-1
4485	-1
4489	-1
4492	-1
4497	-1
4500	-1
4503	-1
4506	-1
4513	-1
4517	-1
4524	-1
4531	-1
4537	-1
4545	-1
4550	-1
4554	-1
4564	-1
